年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),日照時間(時間)
2012/1/1,0.9,-13.1,-5.3,3,0.8
2012/1/2,5.3,-3.3,0.1,0,4.3
2012/1/3,1.3,-5.3,-1.5,0,1.6
2012/1/4,1.2,-11.7,-5,0,2.6
2012/1/5,0.4,-6.7,-2.3,0,4.1
2012/1/6,1.1,-4.6,-1.2,0,3.9
2012/1/7,1,-6.6,-2.1,2,5.4
2012/1/8,1,-10.6,-4.2,0,2.4
2012/1/9,1.9,-10.3,-3.9,0,6
2012/1/10,1.5,-5.9,-2,0,4.3
2012/1/11,-0.7,-9.6,-6.4,0,3.9
2012/1/12,-2.1,-14.6,-7.1,0,4.3
2012/1/13,-1.7,-6.5,-3.9,0,0
2012/1/14,-3.2,-6.8,-5,0,1.9
2012/1/15,-1.9,-7.4,-4.1,0,0.9
2012/1/16,0.2,-5.4,-3,0,3.6
2012/1/17,0.9,-7.2,-3.3,0,3
2012/1/18,2.6,-12.8,-4.1,0,4.9
2012/1/19,3.7,-9.6,-2.4,0,8.3
2012/1/20,1.4,-3.7,-1.5,0,0
2012/1/21,0.4,-2.5,-1,1,0.2
2012/1/22,3.1,-0.7,1,4.5,0
2012/1/23,3.1,-9,-1.3,0,5
2012/1/24,-1.1,-10.7,-6.1,0,5.9
2012/1/25,-1.7,-14.1,-8.3,0,4.9
2012/1/26,-2.4,-16.2,-9.5,0,5.8
2012/1/27,-3,-10.8,-7.2,0,1.9
2012/1/28,-3.4,-16.1,-9.4,0,5.3
2012/1/29,-1.3,-16.4,-10.1,0,8.1
2012/1/30,-2.5,-17.7,-9.7,10.5,1.8
2012/1/31,-4.5,-8.2,-6.4,0,0.3
2012/2/1,-1.5,-11.9,-5.9,11.5,0
2012/2/2,-2,-14.1,-6.3,0,6.3
2012/2/3,-2,-16.2,-7.2,0,2.8
2012/2/4,-0.8,-8.7,-4.6,0,4
2012/2/5,1,-5.1,-2.6,0,5.2
