年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),日照時間(時間)
2012/2/6,1.4,-10.6,-2,1.5,1.7
2012/2/7,5.3,-0.8,1.7,0.5,0
2012/2/8,-0.7,-7.2,-4.6,0,2.8
2012/2/9,-2.4,-12,-6.2,0,5.9
2012/2/10,-2.6,-13.4,-7.9,0,3.6
2012/2/11,-2.4,-12,-6.9,0,2.2
2012/2/12,-2.1,-9.9,-5.2,0,6.6
2012/2/13,2.1,-6.6,-2.4,0,9
2012/2/14,2.6,-5.7,-1.3,0,0.9
2012/2/15,4.1,-5.7,-1.8,0,7.2
2012/2/16,-0.7,-12.3,-5,0,9
2012/2/17,-0.6,-14,-6.5,0,5.8
2012/2/18,-0.2,-10.7,-6.4,0,5.1
2012/2/19,-2.1,-12.9,-6.3,0.5,1.8
2012/2/20,2,-7.8,-2.8,0,8.4
2012/2/21,2.7,-10.2,-2,1.5,8.6
2012/2/22,1.6,-16,-6.4,0,9.6
2012/2/23,2.2,-6.1,-0.1,9.5,0
2012/2/24,5.1,-3.7,0.2,0,2.6
2012/2/25,-0.5,-4.6,-2.3,9.5,0
2012/2/26,1.7,-8.3,-3.1,0,3.1
2012/2/27,0.4,-10.6,-4.5,0,9.6
2012/2/28,-0.2,-14.1,-6.6,0,7.7
2012/2/29,2.9,-12.3,-5.2,0,5.4
2012/3/1,9.5,-10,-1.1,0,10.3
2012/3/2,5.3,-7.4,-0.8,0.5,0.2
2012/3/3,2.8,-4.5,-1.3,0,7.7
2012/3/4,2.5,-10,-2.9,0,8.3
2012/3/5,1.8,-2.7,-0.3,24,0
2012/3/6,4.9,1.5,3.1,0,0.5
2012/3/7,8.5,-1,4.1,5.5,9.8
2012/3/8,8.1,-5.4,1.3,0,8.4
2012/3/9,7.9,-1.7,2.6,0,8.1
2012/3/10,3.2,-1.6,0.2,3,0.3
2012/3/11,1.5,-2.8,-0.4,4.5,0
2012/3/12,1.8,-2,-0.4,1.5,0
2012/3/13,3.6,-8.4,-2.4,0,5.7
2012/3/14,4.3,-7.4,-0.9,0,8.7
2012/3/15,4.5,-5.6,0.1,6.5,4.7
2012/3/16,5.2,-8.9,-0.5,0,8
2012/3/17,5.6,-0.1,2.8,0,0
2012/3/18,11.7,2,5.4,0,1.3
2012/3/19,2.6,-4.1,-1.9,1.5,5.2
2012/3/20,2.9,-3.9,-1,0,5.5
2012/3/21,4,-2.8,0.8,0,5.2
2012/3/22,7.9,1,3.9,3,1
2012/3/23,7.6,-2.3,3.3,7,4.8
2012/3/24,1.5,-3.8,0.1,14,0
2012/3/25,2.4,-2.7,0.3,1.5,0.6
2012/3/26,2.9,-3.1,-0.6,0,5.3
2012/3/27,3.3,-3,0.4,2,3.6
2012/3/28,8,-2,1.9,12,3.9
2012/3/29,8.9,-4.7,3.2,0,8.2
2012/3/30,10.7,0.8,6.8,12,1.7
2012/3/31,9.1,-1.1,5.8,16.5,0
2012/4/1,5.8,-2.9,0.9,2,6.6
2012/4/2,5.8,-1.7,1.8,0,6.1
2012/4/3,11.5,-0.3,6.1,27,1.2
2012/4/4,5.1,0.2,1.4,3,0.2
2012/4/5,7.3,-1.1,2.3,1.5,8.5
2012/4/6,4.9,-1.4,0.5,2.5,5.6
2012/4/7,4.8,-2.5,0.4,0,4.7
2012/4/8,7.1,-5.2,1.5,0,7.8
2012/4/9,11.8,0.4,4.7,14.5,1.2
2012/4/10,13.2,-2.1,6.3,0,11.5
2012/4/11,14.2,3.7,8.7,8.5,0
2012/4/12,13.5,5.4,8.9,0,10.9
2012/4/13,13.4,1.7,8,1,7.9
2012/4/14,13.4,0,6.9,0,6.8
2012/4/15,19.4,1.2,9.3,0,10.2
2012/4/16,13.8,4.5,8.6,0,5.9
2012/4/17,16.8,6.9,11,0,2.6
2012/4/18,10.3,7.8,9,0,0.1
2012/4/19,14.4,5.6,9.2,0,1.3
2012/4/20,14,5.4,8.5,0,3
2012/4/21,17,0.4,8.7,0,12.4
2012/4/22,12.9,3.1,8.8,0,5.4
2012/4/23,12.8,9.5,11.6,14,0
2012/4/24,15.7,6.6,12.2,0,0.8
2012/4/25,20.8,3.4,12.5,0,11.2
2012/4/26,16.6,9.8,12.9,9,0
2012/4/27,17.9,9,12.9,7.5,2
2012/4/28,22.8,6.6,14.3,0,11.6
2012/4/29,26.1,5.9,16.7,0,10.6
2012/4/30,23.6,6.9,16.7,0,5
2012/5/1,24.1,15.7,19,0,8.8
2012/5/2,20.1,15.3,17.5,0,0.5
2012/5/3,17.2,13.3,15.3,9.5,0
2012/5/4,17.3,13.2,15.1,16.5,0
2012/5/5,16,10.8,12.9,2,1.1
2012/5/6,19.7,6.4,12.5,9.5,5.6
2012/5/7,18.9,9.1,13.2,0.5,6
2012/5/8,19.2,9.8,14.7,0,4.6
2012/5/9,22.8,9.2,14.8,0,9.8
2012/5/10,14.2,7.8,10.3,0,1
2012/5/11,13.2,7.3,9.8,0.5,0.3
2012/5/12,11.6,7,9.4,1.5,0
2012/5/13,18.7,4.9,11.6,0,11.9
2012/5/14,22.7,3.5,14,0,12.4
2012/5/15,14.8,11.7,13.5,3,0
2012/5/16,17.7,13,14.9,0.5,3.8
2012/5/17,21.7,9.6,14.8,0,7.7
2012/5/18,19.6,7.9,13.1,0,0.3
2012/5/19,21.9,10.5,15.6,0,5.3
2012/5/20,27.5,7,17,0,13.1
2012/5/21,25.5,8.6,16.6,0,12.8
2012/5/22,21.7,9,15.2,0,9.9
2012/5/23,14.6,10.5,12.6,0,0.1
2012/5/24,23.7,8.6,16.5,0,8.9
2012/5/25,22.5,12.5,16,9,0.5
2012/5/26,23.5,10.4,16.5,0.5,11.9
2012/5/27,25.5,7.1,16.2,0,12.5
2012/5/28,18.6,9.8,14.5,4.5,0.5
2012/5/29,18.4,9.7,14.7,1,3.1
2012/5/30,21,8.6,14.6,0,4.3
2012/5/31,25.4,7,16.4,0,13.4
2012/6/1,27.6,9,17.9,0,12
2012/6/2,27.8,9,17.7,0,12.6
2012/6/3,23.9,13,18,0,10.1
2012/6/4,25.2,13.7,18.7,1.5,7.4
2012/6/5,28.4,12.1,20.5,0,11.9
2012/6/6,22.5,13.8,17.6,12.5,0.8
2012/6/7,23.9,11.8,16.8,4,5
2012/6/8,23.4,15,18.9,0,0.4
2012/6/9,23.7,14,17.9,4.5,2.4
2012/6/10,21.7,15,17.7,0.5,1.5
2012/6/11,25.2,13.7,19.1,0,9.9
2012/6/12,18.8,13.1,16,0,0.2
2012/6/13,19.3,11.4,15.5,0,0.8
2012/6/14,20.7,12.5,15.4,0,4.7
2012/6/15,20.6,13.2,15.5,0,5.2
2012/6/16,19.2,13.7,15.9,1.5,1
2012/6/17,23.8,13.7,18.6,3,2.9
2012/6/18,21.9,12.1,17.9,0,4.2
2012/6/19,21.3,13.4,17.2,7.5,0.4
2012/6/20,20.9,13.8,16.7,15.5,0
2012/6/21,19.5,13.4,17.1,1.5,1.2
2012/6/22,23.6,13.7,18.1,0,6.3
2012/6/23,18.5,14.9,16.3,0,0
2012/6/24,22.5,13.4,16.9,0,4.8
2012/6/25,24.4,11,17.3,0,12.8
2012/6/26,27.3,8.4,18.3,0,14.3
2012/6/27,28.4,9,19.2,0,14.1
2012/6/28,29.6,11.9,20.9,0,14.1
2012/6/29,26.5,12.6,20.1,0,12.3
2012/6/30,28.1,18,22.6,0,12.2
2012/7/1,24.5,14.7,20.2,0,5.3
2012/7/2,25.8,18.1,21.5,0,2.5
2012/7/3,27,19,22.1,0,5.3
2012/7/4,31,17.4,23.8,0,8.7
2012/7/5,22,19.3,20.4,8.5,0.4
2012/7/6,25.6,18.6,21.5,9,2.1
2012/7/7,24.9,18.4,20.8,4,1.3
2012/7/8,29,17.8,22.5,4,9.1
2012/7/9,26.1,17.7,21.2,1,2.7
2012/7/10,28.8,16.8,21.9,0,9.2
2012/7/11,28.1,17.7,23.1,0,5.2
2012/7/12,23.8,21.5,22.8,22.5,0
2012/7/13,24.2,20.4,22.7,0,1.4
2012/7/14,26.8,18.6,22.1,1,1.6
2012/7/15,21.9,19.8,21,6,0
2012/7/16,27.5,21.3,23.9,59.5,0
2012/7/17,29.9,18.8,24.4,1.5,7.1
2012/7/18,31.1,16.5,23.5,0,11.3
2012/7/19,26.3,16.2,20.7,0,10.4
2012/7/20,23.3,14,18.3,0,3.8
2012/7/21,24,12.6,18.7,0,6.9
2012/7/22,22.7,16.4,18.8,0,5.5
2012/7/23,25.7,16.7,20.8,0,0.9
2012/7/24,26.3,19.3,22.7,11,1.3
2012/7/25,27.2,21.4,23.5,7.5,0.2
2012/7/26,30.7,20.2,24.8,0,8.9
2012/7/27,29.7,22.3,25.8,0,3.7
2012/7/28,30.8,21.3,26.4,0,9.8
2012/7/29,31.8,22,26.9,0,11.1
2012/7/30,33.1,20.3,26.8,0,12.9
2012/7/31,34.3,22.2,27.1,0,8.4
2012/8/1,32,22.3,26.4,0,6.7
2012/8/2,33.2,23.3,27.2,0,6.6
2012/8/3,32.3,22.1,25.7,0,6.4
2012/8/4,29.7,22.1,25.7,0,5.1
2012/8/5,33.7,23.4,27.6,0,12.1
2012/8/6,27.1,18.9,22.5,0,1.5
2012/8/7,27.7,18.1,21.3,0,4
2012/8/8,26.2,18.5,22,0,4.8
2012/8/9,27.9,19,22.1,0,4.1
2012/8/10,27.5,18.6,21.9,6,4.3
2012/8/11,28.4,19.6,23.6,0,3
2012/8/12,30.3,19.7,24.9,0,6.5
2012/8/13,26.3,22,24.2,8,0.3
2012/8/14,29.5,15.9,23.1,5,6.9
2012/8/15,27.9,14.5,22.1,0,6.9
2012/8/16,29,22.4,25.5,0,2.9
2012/8/17,30.8,22.7,26,0.5,4.6
2012/8/18,32.3,22.3,26.9,0,9.1
2012/8/19,31.1,24.4,27,0,9.4
2012/8/20,32.9,21.5,26.4,1,8.4
2012/8/21,33.4,18.6,26,0,11.5
2012/8/22,34,21.6,27.3,0,9.9
2012/8/23,34,22,26.7,19.5,10.3
2012/8/24,32.8,21.8,24.7,8.5,5.9
2012/8/25,29.6,22.3,25,0,1.6
2012/8/26,31.4,23.1,26.3,0,6.1
2012/8/27,32.8,21.8,26.9,0,8
2012/8/28,32.2,21.1,26.3,0,9.8
2012/8/29,31,21.3,25.9,0,8
2012/8/30,31.8,23.2,26.9,0,10.1
2012/8/31,32.2,23.1,27,0,6
2012/9/1,31.4,22,26.2,0,8.8
2012/9/2,32.1,20.4,25.1,0,9.6
2012/9/3,30.4,19.5,24.6,0,7
2012/9/4,31,20.1,24.7,19,8.6
2012/9/5,31,21.9,24.6,2.5,6.7
2012/9/6,27.5,20.2,23.6,0.5,2.5
2012/9/7,27.9,18.8,22.3,0,6.2
2012/9/8,29.7,17.4,23.7,0,11.1
2012/9/9,28.5,22,24.3,1,0.4
2012/9/10,29.1,23.3,25.4,1,2.9
2012/9/11,30.5,21.1,25.7,0,9.9
2012/9/12,30.6,19.9,23.4,10,4
2012/9/13,31.3,19,24.9,0,10.1
2012/9/14,31.5,18.9,25.1,0,9.2
2012/9/15,29.3,22.4,25.5,0,5.6
2012/9/16,31.4,22.3,26.2,0,11.1
2012/9/17,30.9,24,26.5,0,4.4
2012/9/18,30.5,24.5,26.7,0,6.4
2012/9/19,28.4,21.6,24.8,14,0.7
2012/9/20,26.6,18.4,22.1,1,3.5
2012/9/21,19.3,15.7,17.8,4,0
2012/9/22,24.4,13.6,17.6,0,6.6
2012/9/23,21.2,11.4,16.4,4,0
2012/9/24,20.6,11.1,16.5,0,0.2
2012/9/25,21.2,9.9,14.5,9,4
2012/9/26,24.5,9.6,16.1,0,7
2012/9/27,23.1,10.3,16.5,0,6.6
2012/9/28,22.7,11.2,17.7,0,1.4
2012/9/29,26.9,17.8,21.3,0,4.2
2012/9/30,23.4,18.1,20.3,26,0.2
2012/10/1,25.8,16.5,20.6,60,3
2012/10/2,22,14.2,17.3,0,0.3
2012/10/3,21.7,13.7,16.9,0,0
2012/10/4,20.3,13.1,16.6,0,2.1
2012/10/5,23.2,11.4,15.8,0,5.5
2012/10/6,19.9,10.5,15.4,0,0.8
2012/10/7,21.5,8.8,15.7,0,4.6
2012/10/8,20.9,4.7,12,0,10.4
2012/10/9,20.7,3.7,12.2,0,9.7
2012/10/10,19.5,8.6,13.5,0,5.1
2012/10/11,18.1,9.5,13.6,21.5,0.3
2012/10/12,17.7,8.4,12.9,0,4.2
2012/10/13,18.6,8.8,12.6,1.5,2.7
2012/10/14,20.1,6.4,12.8,0,7
2012/10/15,20.1,5.6,12.7,0,8.4
2012/10/16,19.1,2.3,10.2,0,9.7
2012/10/17,20,3.3,12.8,2.5,5.5
2012/10/18,17.1,8.3,13.2,0.5,0.4
2012/10/19,14,3.4,8.7,0,3.8
2012/10/20,18,1.2,10.6,0,8.6
2012/10/21,16.7,5.1,12.3,8.5,4.1
2012/10/22,17.3,1.8,11.2,0,9.2
2012/10/23,16,10.3,14.3,5,0
2012/10/24,14.7,1.3,8.9,0,8.4
2012/10/25,12.1,-0.1,7,0,2.8
2012/10/26,17.9,4.1,10.6,0,7.2
2012/10/27,16.8,-0.4,8.5,0,9.3
2012/10/28,14.9,5.5,11.6,26,0
2012/10/29,16.8,3.7,12.2,1,0.9
2012/10/30,15.3,1.4,8.1,0,5.2
2012/10/31,14.9,8.1,10.5,0,3.7
2012/11/1,14,7.3,9.8,3,1.7
2012/11/2,10.8,5.7,7.5,1,1.3
2012/11/3,11.8,1.9,7.5,0,2.6
2012/11/4,12.6,4.5,8.2,0,0.7
2012/11/5,13.4,-0.1,7.4,0,4.8
2012/11/6,13.9,9.8,12.4,51,0.1
2012/11/7,15.2,8.8,11.7,19.5,0.6
2012/11/8,12.3,7.9,10,8.5,0.1
2012/11/9,14.5,8.3,10.8,4,5.5
2012/11/10,12.9,2.6,8.5,2,1.9
2012/11/11,12.3,0.1,6.9,0,3.7
2012/11/12,13.3,8.8,10.9,16,0
2012/11/13,11.3,7,9.1,12.5,0
2012/11/14,10.4,-0.3,5.8,1.5,2.8
2012/11/15,10.3,-1.5,4,0.5,5.5
2012/11/16,10.7,0.5,5.7,0,5.1
2012/11/17,9.8,4.3,6.3,4,0
2012/11/18,9.3,-0.6,3.7,3,3.9
2012/11/19,6.4,-1.7,2.7,0.5,2.3
2012/11/20,10.3,1.1,5.1,5.5,4.3
2012/11/21,4.8,-2.6,1.3,0,1.3
2012/11/22,10.1,-2.3,4.1,0.5,7.5
2012/11/23,9,0.1,4.5,3,0
2012/11/24,3.3,-0.2,1.2,0,1
2012/11/25,8.6,-0.7,2.9,0,5.1
2012/11/26,9,1.9,5.4,2,0.8
2012/11/27,8,-1.7,0.8,2,2.8
2012/11/28,5.2,-1.1,2.2,0,2.7
2012/11/29,9,-2.9,3.3,4,5.6
2012/11/30,4.2,-5.8,-0.2,0,4.9
2012/12/1,2.3,-3.3,-1.3,0,3
2012/12/2,1.6,-3.9,-0.9,0,4.5
2012/12/3,6.2,-5.6,1.3,0,6.6
2012/12/4,8.5,0.9,5.6,19,0
2012/12/5,4.2,-1,1.7,0,6.8
2012/12/6,3.4,-2.9,0.2,6,0
2012/12/7,1.3,-2.1,-0.4,0,1.9
2012/12/8,0.2,-3.8,-1.9,11,0
2012/12/9,-2,-6.7,-3.9,1.5,0
2012/12/10,2.7,-6.6,-2.1,0,3.6
2012/12/11,2,-8.2,-3.2,0,3.8
2012/12/12,2.2,-9,-3.5,0,7.4
2012/12/13,0.5,-12.5,-4.9,0,2.6
2012/12/14,6.5,-2.8,1.8,0,1.6
2012/12/15,2.7,-0.5,1.3,8.5,0
2012/12/16,5.8,1,3.3,3.5,4.3
2012/12/17,5.8,-3.2,1.8,3,6.1
2012/12/18,5.8,-2.9,1.7,2,3.4
2012/12/19,-2.3,-6.4,-3.7,0.5,0.5
2012/12/20,-0.8,-7.3,-3.3,0,1.7
2012/12/21,2.2,-4.3,-0.9,0,3.7
2012/12/22,2.2,-6.4,-1.4,0,0.6
2012/12/23,1.9,-4.2,-1.3,0,6.7
2012/12/24,0.4,-8.9,-4.9,0,7.8
2012/12/25,-0.6,-8.2,-4.1,1.5,0
2012/12/26,-4.2,-10.5,-6.9,0.5,1.5
2012/12/27,-1.3,-10.1,-4.4,0,4.3
2012/12/28,0.5,-9.9,-3.4,0,2.9
2012/12/29,2.2,-9.6,-2.6,0,7.7
2012/12/30,3.1,0.2,1.9,11,0
2012/12/31,3.5,-3.6,-0.5,0,1
2013/1/1,1.6,-6.1,-2.3,0,6.3
2013/1/2,0.3,-7,-2.8,9.5,0
2013/1/3,-3.7,-14.2,-7.6,0,1.1
2013/1/4,-4.8,-14.4,-8,0,1.1
2013/1/5,-0.6,-10.5,-4.6,0,7
2013/1/6,0.9,-4.8,-2.5,0,5.9
2013/1/7,1.2,-9.2,-2.7,0,7.5
2013/1/8,0.2,-12.2,-6.7,0,2.7
2013/1/9,-2.5,-13.6,-6.9,0,1
2013/1/10,-1.3,-14.3,-6.4,0,7.3
2013/1/11,-0.9,-12.8,-5.6,0,6
2013/1/12,-1.3,-8.8,-3.8,1.5,0
2013/1/13,2.9,-8.9,-1.5,0.5,7
2013/1/14,-2.1,-8.4,-4.8,5.5,0
2013/1/15,-0.3,-7.1,-3.6,0,6.1
2013/1/16,-1.6,-9.9,-5.3,0,1.3
2013/1/17,-0.8,-13,-6.2,0,4.7
2013/1/18,-3.6,-14.4,-9.2,0,2.4
2013/1/19,2.1,-6.4,-2.3,0,4.3
2013/1/20,2.6,-7.8,-1.9,0,2.2
2013/1/21,3.3,-8.5,-1.9,0,7.1
2013/1/22,0.3,-6.1,-1.9,5,0
2013/1/23,1.9,-10.6,-4.9,0,7.8
2013/1/24,2.9,-10.5,-2.8,3,4.2
2013/1/25,1,-7.3,-2.3,2,2.1
2013/1/26,-3.3,-7.2,-6.1,1.5,0
2013/1/27,2.9,-10.6,-3.2,0,4.1
2013/1/28,2.2,-10.5,-3.9,0,7.6
2013/1/29,1.4,-7.6,-2.5,0,3.6
2013/1/30,2.1,-7.7,-1.4,1,6.9
2013/1/31,4.3,-7.9,-1.5,0,0.4
2013/2/1,4.7,-12.5,-3.1,0,9.1
2013/2/2,11.9,-1.3,3.6,4,5.6
2013/2/3,-0.5,-5,-2.4,0,7
2013/2/4,2,-3.6,-0.8,1.5,5.2
2013/2/5,0.4,-7.3,-2.6,0,8.1
2013/2/6,-0.3,-8.4,-3.6,0,0
2013/2/7,1.3,-10.7,-2.8,3.5,0
2013/2/8,-0.4,-5.5,-3.4,0.5,2
2013/2/9,-0.2,-8.8,-3.7,0,5.4
2013/2/10,1.3,-11.7,-5,0,7.3
2013/2/11,-1.7,-7.8,-4.6,0,4.7
2013/2/12,-0.5,-13.3,-4.8,0,4.8
2013/2/13,2,-5.3,-1.6,7.5,0.3
2013/2/14,2.1,-7.8,-1.7,0.5,2
2013/2/15,2,-3.2,-0.3,4.5,0.3
2013/2/16,-2.4,-9.4,-5.1,0,4.6
2013/2/17,-0.2,-14.1,-6.6,0,4.1
2013/2/18,-1.1,-6.5,-2.9,1,0
2013/2/19,2.7,-5.6,-1.8,0,4.9
2013/2/20,-1.6,-10.1,-5.7,0,5.8
2013/2/21,-2.3,-12.1,-6.2,0,3.2
2013/2/22,0.6,-7.1,-3.3,1.5,5.4
2013/2/23,-0.9,-9.3,-4.7,0,1.1
2013/2/24,-4.1,-10.7,-6.5,7.5,1.1
2013/2/25,-0.9,-16.2,-8.6,0,7.8
2013/2/26,1.1,-14.2,-5.2,0,6.6
2013/2/27,5.8,-11.3,-1.8,0,8.4
2013/2/28,5.7,-3.9,2.7,0,9.8
2013/3/1,5.7,0.6,2.9,7.5,0
2013/3/2,2.9,-2.4,-0.5,0.5,4.2
2013/3/3,3.1,-2.8,-0.2,0,7.9
2013/3/4,3.8,-6.8,-1,0,10.1
2013/3/5,4.4,-8.7,-1.5,0,3.3
2013/3/6,8.9,-2.8,3,0,3.7
2013/3/7,9,-8,2.4,0,1.9
2013/3/8,9.9,3.1,5.6,14,0.8
2013/3/9,6.5,-2.7,0.4,0,7.7
2013/3/10,4.8,-6.5,-0.6,8.5,5.2
2013/3/11,-0.5,-7.6,-3.6,0,5.5
2013/3/12,7.6,-2.6,2.5,0,10.1
2013/3/13,6.2,0,2.6,8.5,0
2013/3/14,3.2,-3.1,-0.6,0,6.8
2013/3/15,6.3,-6.9,0.7,0,10.8
2013/3/16,7.1,-2.7,1.6,1,0.6
2013/3/17,8.1,-2.9,2.9,0,10.1
2013/3/18,8.4,1.9,5.6,32,0.4
2013/3/19,11,2.6,7.6,0.5,6.4
2013/3/20,8.2,-0.5,4.5,2.5,0
2013/3/21,1.4,-3.6,-0.8,0,7.7
2013/3/22,10.3,-1,4.5,0,8.2
2013/3/23,5.2,-0.9,1.6,0,7.8
2013/3/24,9.1,-3.8,2.2,0,10.5
2013/3/25,7.6,-2.9,1.8,0,3.2
2013/3/26,6,-2.5,0.8,0,4
2013/3/27,10,-6.1,3.3,0,11.3
2013/3/28,15,5,9.4,0,2
2013/3/29,10,0.4,4.9,0,1.8
2013/3/30,8,-3.8,1.8,0,8.3
2013/3/31,5.1,-3.8,1,0,0.6
2013/4/1,9.9,-2.7,3.3,0,10.2
2013/4/2,14.2,-2.9,6.4,2,7.3
2013/4/3,13.8,7.5,9.6,0,0.1
2013/4/4,14.4,-1.3,7.7,0,9.6
2013/4/5,16.9,-3.7,7.1,0,10.4
2013/4/6,16,8,11.9,5,0.2
2013/4/7,14.7,4.4,10.8,14,0
2013/4/8,6.6,3.4,4.5,0,2
2013/4/9,16.9,3.6,9,0,10.8
2013/4/10,8.8,-0.4,4.2,0.5,3.2
2013/4/11,9.4,-2.3,3.4,3.5,7.7
2013/4/12,8.7,-0.2,3,1,5.7
2013/4/13,11,-0.4,5.9,0,8.5
2013/4/14,19.3,1.3,11.3,0,11
2013/4/15,12.3,1.4,6.6,0,11.2
2013/4/16,13.8,0.4,7.5,6,8.8
2013/4/17,14.4,6.1,10.2,0.5,0.1
2013/4/18,7.1,3.3,5.3,17,0
2013/4/19,8.6,1.7,3.7,0.5,4.4
2013/4/20,9.5,0.3,4.7,0,5.3
2013/4/21,3.6,-0.3,2.2,7.5,0
2013/4/22,12.4,-2.2,5.2,0,9.7
2013/4/23,15.9,-1.7,8.2,0,9.5
2013/4/24,16.4,4.5,10.5,19,0.2
2013/4/25,14.8,4,10.9,0.5,6.8
2013/4/26,9.9,1.4,6.7,3.5,1.2
2013/4/27,13.5,5.2,8.4,0,3
2013/4/28,13.1,2.3,8.4,0,7.9
2013/4/29,18.1,1.7,11.2,0,5.5
2013/4/30,14,7,10.2,9.5,0.9
2013/5/1,10.6,3.4,6.8,0,2.4
2013/5/2,10.5,2.8,6.3,0,2.4
2013/5/3,9.8,0.8,6.2,1,3.6
2013/5/4,11,6,8.1,4,1
2013/5/5,14.8,2.8,10,0,1.8
2013/5/6,17.9,2.9,10.5,1.5,1.8
2013/5/7,6.8,0.7,3.9,0.5,0.5
2013/5/8,17.4,-1.9,8.6,0,11.1
2013/5/9,21.8,1.6,12.1,0,12.5
2013/5/10,24.5,4.2,14.7,0,11.3
2013/5/11,17.1,9.9,13.1,5,0
2013/5/12,21.6,7.2,13,1,9.7
2013/5/13,15.4,7.8,10.9,0,5.5
2013/5/14,23.5,8.6,15.7,0,12.2
2013/5/15,17.5,10.7,13.7,0,4.6
2013/5/16,20.2,8,13.7,0,5.3
2013/5/17,22.8,6.5,14.6,0,11.8
2013/5/18,25.6,5.6,15.5,0,11
2013/5/19,19.8,8.6,14.6,2,0.4
2013/5/20,20.2,13.2,16.6,2.5,1.8
2013/5/21,21.4,9.8,17.1,0,8.5
2013/5/22,24,6.5,15.4,0,10
2013/5/23,22.2,8.6,15.2,0,11.7
2013/5/24,22.4,9.6,14.7,1,7.6
2013/5/25,18.5,8.6,14,0,2.5
2013/5/26,26.2,11.7,18.2,0,10.4
2013/5/27,28.5,14.9,20.6,0,8.7
2013/5/28,23.9,15.1,19,0,2.9
2013/5/29,18.2,15.7,17.4,3,0
2013/5/30,18.8,13.3,16.4,5.5,1.2
2013/5/31,28.4,10.3,18.7,0,12.4
2013/6/1,27.9,8.1,18.3,0,12.9
2013/6/2,24,11.5,17.4,0,12.8
2013/6/3,24.7,9.5,17.4,0,10.2
2013/6/4,27.3,12.4,18.7,0,10.6
2013/6/5,28.2,10.9,19.1,0,10.7
2013/6/6,26.4,11.4,19.2,0,6.5
2013/6/7,23.2,15,18.2,0,3.3
2013/6/8,25.8,14.9,19.5,0,11.7
2013/6/9,28.1,12,19.9,0,13.2
2013/6/10,30.6,10.9,21,0,13.6
2013/6/11,27,14.3,20.9,0,11.4
2013/6/12,23.4,17.8,20,0,5.9
2013/6/13,28.1,18,22.4,0,9.5
2013/6/14,28,19.7,23.6,0.5,3.8
2013/6/15,24,19.5,22.1,6.5,0.4
2013/6/16,27.3,19.1,22.8,0,4.8
2013/6/17,27.5,18.9,22.6,0,5
2013/6/18,24.3,19,21.2,0.5,1.1
2013/6/19,20.8,15.1,18.1,13,1.1
2013/6/20,25.4,14.7,19.8,1,5.5
2013/6/21,23.1,15.9,19,0,2.7
2013/6/22,23.8,15.7,18.9,0,2.8
2013/6/23,24.8,14,19.1,0,7.8
2013/6/24,29.1,11.3,20.8,0,13.3
2013/6/25,29.6,15.2,21.7,0,10.7
2013/6/26,25.7,15.7,21.2,0,6.8
2013/6/27,24,14.6,18.8,0,9.2
2013/6/28,17,13.4,15.5,0,0
2013/6/29,20.7,14.6,17.7,0,0.7
2013/6/30,24.7,16.7,20.1,0,8.2
2013/7/1,25.8,18.8,21.5,0,3.7
2013/7/2,26.7,17.9,21.4,0,8.6
2013/7/3,20.6,17,18.5,19,0
2013/7/4,26.9,17.9,22.2,10.5,4.2
