年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),日照時間(時間)
1977/3/2,1.6,-1.7,-0.1,10,0
1977/3/3,-0.1,-4.7,-2.3,3,7.2
1977/3/4,-0.3,-7.1,-4.2,0,8.9
1977/3/5,-4.9,-11.4,-6.8,3,5.2
1977/3/6,-1.8,-12.4,-6.7,0,8.7
1977/3/7,4.4,-12.4,-3.9,0,9.4
1977/3/8,10.1,-6.5,2.8,0,10
1977/3/9,7,-1.1,3.5,8,0.5
1977/3/10,2.2,-3.5,-0.7,0,9.5
1977/3/11,4.4,-3.3,0.3,0,10.1
1977/3/12,5.8,-6.9,0,0,10.6
1977/3/13,10.8,-2.1,4.4,0,8.5
1977/3/14,12.7,-0.8,6.8,0,10.3
1977/3/15,8.3,-1.2,3.7,4,5.5
1977/3/16,9.3,-1.3,3.7,0,9.6
1977/3/17,11,-2.3,4.1,0,9.6
1977/3/18,12.4,-1.1,4.8,0,7.9
1977/3/19,4.6,1,2.9,6,0
1977/3/20,8.8,-2.4,3.7,0,7.9
1977/3/21,7.3,-3.3,1.7,0,10.8
1977/3/22,9.7,-5.4,1.7,0,9.6
1977/3/23,11.8,-2,5.5,0,8.3
1977/3/24,9,-1,5.9,32,0
1977/3/25,1,-1.7,-0.5,9,3.6
1977/3/26,6.2,-1.3,2.3,1,9.6
1977/3/27,3.9,-1.8,0.3,0,1
1977/3/28,5,-3.1,0.6,0,7
1977/3/29,6.2,-5.5,0.6,0,8.2
1977/3/30,6.9,-4.4,0.8,10,4.6
1977/3/31,7.6,0.8,4.2,7,0
1977/4/1,11.1,2.4,5.7,0,10
1977/4/2,7.4,-0.1,2.9,0,8.1
1977/4/3,5.6,-1.3,1.3,9,5.3
1977/4/4,7.2,-1.7,2.2,0,5.8
1977/4/5,9.3,-3.6,3.1,0,8.9
1977/4/6,9.9,0.7,5.1,0,5.7
1977/4/7,5.2,0.4,2.5,5,0.7
1977/4/8,9.6,1.2,4.2,0,4.2
1977/4/9,5.9,3.2,4.2,2,0
1977/4/10,11.4,2.2,6.3,1,5.2
1977/4/11,12.4,1.5,6.6,0,12.1
1977/4/12,18,1.1,9.7,0,7.4
1977/4/13,18.1,2.1,10.5,0,11.4
1977/4/14,20.2,5.8,12.7,0,8.5
1977/4/15,23.2,3.5,13.6,11,8.1
1977/4/16,17.1,10.3,14,27,0.1
1977/4/17,13.7,7.2,9.8,0,8.9
1977/4/18,11.5,2.4,7.6,7,4.6
1977/4/19,7.9,2.6,5,4,4.3
1977/4/20,13.3,4.1,7.7,13,5.2
1977/4/21,11.1,-0.8,5.5,0,12.5
1977/4/22,15.2,-2.9,6.5,0,12
1977/4/23,16.9,3.8,8.5,0,7.8
1977/4/24,14.1,-0.9,6.9,0,11.7
1977/4/25,11.9,3.7,7,16,0
1977/4/26,14.9,1.9,9.7,0,12.5
1977/4/27,18.7,0.7,10.2,0,11.8
1977/4/28,12.3,5.8,8.8,54,0.1
1977/4/29,10.7,1,6.6,1,8
1977/4/30,12.5,0.4,7.3,0,9.5
1977/5/1,18.7,6.9,12.7,0,10.4
1977/5/2,13,8.9,10.3,3,0
1977/5/3,13.4,2.2,9,1,7.3
1977/5/4,17.5,0.7,8.8,0,12.4
1977/5/5,12.6,1.2,8.5,9,0.6
1977/5/6,17.9,6.8,12.8,5,7.7
1977/5/7,14.6,7.3,10.7,2,6.1
1977/5/8,12.4,7.2,9.3,1,3
1977/5/9,17.7,1,9.8,0,13.1
1977/5/10,24.4,0.6,13.6,0,12.8
1977/5/11,28,6.1,17.8,0,11.9
1977/5/12,25.5,6.3,16.1,0,12.7
1977/5/13,27.4,11.1,18.8,0,12.8
1977/5/14,24.4,11.2,17.7,0,12
1977/5/15,15.5,10.2,14.2,38,0
1977/5/16,10.5,7.8,8.9,32,0
1977/5/17,12.9,6.8,9.7,10,2.7
1977/5/18,10.9,6.8,8.9,0,0
1977/5/19,12.9,8.4,10.2,1,0
1977/5/20,13.9,7.8,10.6,0,3.4
1977/5/21,16.6,5.9,11.1,0,9.4
1977/5/22,22.3,3.2,13.2,0,12.4
1977/5/23,22.1,5.6,13.2,0,12.3
1977/5/24,12.9,9.1,10.6,3,0.5
1977/5/25,14.4,8.7,11.6,0,0
1977/5/26,21.6,12.2,16.2,0,8.5
1977/5/27,25.6,11.1,17.8,0,8.1
1977/5/28,24.4,10.1,17,0,11.6
1977/5/29,22.6,8.3,15.1,0,9.7
1977/5/30,21,12.5,16.5,0,7.3
1977/5/31,23.2,11.5,17.3,0,9.2
1977/6/1,21.6,14.3,17.8,0,3.3
1977/6/2,16.8,15.3,16.2,68,0
1977/6/3,20.9,12.6,17.1,5,9.6
1977/6/4,24.7,8.3,16.5,0,12.2
1977/6/5,26.8,7.6,18.4,0,13.4
1977/6/6,26.6,15.2,20.5,0,10.8
1977/6/7,27.4,14.5,20.8,0,7.8
1977/6/8,21.3,14.6,18.6,0,0
1977/6/9,28.6,12.5,20.4,0,9.1
1977/6/10,29,13.3,21,0,10.4
1977/6/11,25.8,16.7,19.6,17,5.4
1977/6/12,24.6,14.2,19.4,4,11.6
1977/6/13,25.8,12.2,18.4,4,12.4
1977/6/14,19.3,7.2,14.6,1,10.3
1977/6/15,19.2,6.8,12.7,0,10.2
1977/6/16,22.4,4.6,14.2,0,13.6
1977/6/17,17,11.9,14.3,3,0
1977/6/18,16.7,11.1,13.5,1,0
1977/6/19,15.6,10.9,12.7,0,0
1977/6/20,21.1,10.6,15.8,0,5.8
1977/6/21,22.3,13.1,16.3,0,4.5
1977/6/22,20.5,12.8,15.8,0,6.7
1977/6/23,21.3,10.6,16.4,0,13.7
1977/6/24,20.4,14.1,17.2,0,3
1977/6/25,20.3,15.4,17.5,0,0.4
1977/6/26,24.5,16.3,20,0,6.4
1977/6/27,26.5,15.4,20.7,0,10
1977/6/28,29.8,18.3,22.4,0,7.6
1977/6/29,23.9,17.8,20.1,0,4.9
1977/6/30,25.4,17.5,20.8,0,7.7
1977/7/1,22.1,18.3,19.8,3,0
1977/7/2,24.6,18.5,20.9,7,3.4
1977/7/3,28.7,16.8,22.1,2,5.4
1977/7/4,28.9,15.2,21.6,2,11.3
1977/7/5,29.5,18.8,22.5,0,6.9
1977/7/6,25.2,17.3,20.5,0,4.3
1977/7/7,21.2,15.1,18.2,0,1.2
1977/7/8,25.1,14.2,18.5,0,9.9
1977/7/9,23.1,13.7,18.3,0,7.6
1977/7/10,22.1,17.2,20,2,0
1977/7/11,23.7,19.1,21.4,2,0
1977/7/12,28.3,14.1,22.4,0,9
1977/7/13,24,17.2,20.2,39,1.2
1977/7/14,25.9,14.3,20.1,0,8.5
1977/7/15,28.4,13.3,20.8,0,11.4
1977/7/16,28.9,18.3,22,2,7
1977/7/17,26.6,19.2,21.6,7,4.3
1977/7/18,25.8,19,21.2,11,5.3
1977/7/19,25.4,17.9,20.7,4,2.9
1977/7/20,26.6,16.5,20.8,0,8.8
1977/7/21,26.6,17.5,21.2,0,8.3
1977/7/22,27.9,16,22.5,0,8.1
1977/7/23,31.3,19.2,24.7,0,10.8
1977/7/24,33.2,18,25.6,0,11.2
1977/7/25,33,20.3,25.5,0,8
1977/7/26,31.9,21.9,26.3,0,9.1
1977/7/27,31,20.3,24.4,6,7.9
1977/7/28,30.5,19.2,23.6,1,8.3
1977/7/29,29.7,21.5,24.5,2,5.8
1977/7/30,32.1,20,25.5,0,8.9
1977/7/31,32.4,20.5,25.9,0,10.8
1977/8/1,29.7,19.4,24.8,0,6
1977/8/2,31.4,22.8,26.3,0,7.2
1977/8/3,29.8,21.6,24.9,1,6.3
1977/8/4,30.3,21.5,25.2,0,5.9
1977/8/5,28.8,22.4,23.9,23,0.9
1977/8/6,28.9,19,24,0,8.7
1977/8/7,27.4,18,22,0,10.8
1977/8/8,19.7,18.6,19,13,0.1
1977/8/9,26.4,17.5,21.4,6,8.7
1977/8/10,27,13.6,20.3,0,9.6
1977/8/11,21.7,16.3,19.1,0,1.9
1977/8/12,29,13.7,21.2,0,11.4
1977/8/13,22.1,18.4,19.9,0,0
1977/8/14,22.8,15.2,19.1,0,5
1977/8/15,24.9,15.1,20.2,0,8
1977/8/16,26.7,19.1,22.3,11,1.8
1977/8/17,24.4,22.8,23.6,63,0
1977/8/18,24.7,19.3,22,0,2
1977/8/19,23.5,17.7,19.9,0,5
1977/8/20,19.7,14.9,17.5,0,0.2
1977/8/21,23.8,14.5,18.5,1,3.8
1977/8/22,24.4,11.3,17.1,0,11.4
1977/8/23,23.5,11.3,17.6,0,10.2
1977/8/24,24,13.6,18.6,0,8.4
1977/8/25,22.5,11.3,17.4,0,4
1977/8/26,19.3,15.9,18.1,13,0
1977/8/27,23.6,19.2,21.3,3,0.7
1977/8/28,22,19.7,21.1,13,0
1977/8/29,28.1,19.2,22.5,0,6.6
1977/8/30,28.7,18.8,22.8,0,9.5
1977/8/31,26.2,19.4,22.1,0,8.1
1977/9/1,25.1,17.2,20.9,0,8.2
1977/9/2,28.2,14.9,21.4,0,10.7
1977/9/3,21.7,18.4,20.6,2,0.9
1977/9/4,23.9,18,20.7,8,1.9
1977/9/5,26,16,20.3,0,10.6
1977/9/6,28.3,17.6,21.9,0,8.6
1977/9/7,28.1,19.6,22.6,1,8.5
1977/9/8,20.5,18.4,19.2,60,0.2
1977/9/9,20.1,18.2,19.1,33,0
1977/9/10,26.7,18.6,21.8,2,3.4
1977/9/11,27.7,22.6,24.7,3,2
1977/9/12,25.7,18.8,21.9,3,8
1977/9/13,22.1,11.5,16.3,4,6.5
1977/9/14,21.6,11,15.8,2,5.3
1977/9/15,20.9,6.5,14.9,4,7.7
1977/9/16,22.4,4.4,13.1,0,11.3
1977/9/17,23.2,6.3,14.7,0,9.2
1977/9/18,22.9,13.9,18.3,0,7.9
1977/9/19,21.1,15.8,18.5,3,0.1
1977/9/20,24.8,12.5,19,10,6.7
1977/9/21,22.7,10.3,16.1,0,6.8
1977/9/22,20.3,6.9,12.9,0,10.2
1977/9/23,22.5,4.2,12.7,0,11.2
1977/9/24,25.7,6.6,14.3,1,9.3
1977/9/25,22.3,6.2,14.4,0,10.2
1977/9/26,21.1,12.6,17.2,3,4.5
1977/9/27,21.1,6.3,14.7,0,10.8
1977/9/28,20.6,3,12.3,0,9.6
1977/9/29,19.1,12.1,15.7,0,1.6
1977/9/30,26.7,13.6,18.9,0,9.5
1977/10/1,23.1,9.2,16,0,9.8
1977/10/2,19.2,5.6,11.8,0,10.6
1977/10/3,18.9,3.9,11.7,0,8.5
1977/10/4,20.2,11.1,14.8,0,2.6
1977/10/5,20.6,9.8,15.4,0,6.8
1977/10/6,19.6,7.4,14.1,1,4.1
1977/10/7,17.7,6.6,12,0,8.2
1977/10/8,12.6,8.9,11,10,0
1977/10/9,17.2,10.9,14,1,1
1977/10/10,18.9,11.5,15,1,5.5
1977/10/11,16,3.3,10.2,0,9.9
1977/10/12,17.4,-0.4,7.7,0,10.2
1977/10/13,19.7,0.5,8.5,0,8.6
1977/10/14,19.9,1.2,11.4,0,8.5
1977/10/15,22.1,12.9,16.4,0,6.5
1977/10/16,15.8,8.2,12.7,7,7.2
1977/10/17,16.3,2.5,10.1,0,6.8
1977/10/18,18.6,-0.9,8.6,0,10.2
1977/10/19,14.2,0,8.5,0,10.1
1977/10/20,15.6,-1.4,5.8,0,9.8
1977/10/21,18.1,-1.4,7.3,0,9.3
1977/10/22,21.2,3.2,10.3,0,8
1977/10/23,20.6,3.6,10,0,8.1
1977/10/24,20.8,2.5,11.2,1,7.8
1977/10/25,17.8,11,13.3,0,7.1
1977/10/26,19.6,6.2,12.6,0,7.8
1977/10/27,17.4,1.7,8.1,0,9.6
1977/10/28,17.4,1.4,7.9,0,8.8
1977/10/29,18.7,2.9,9.8,0,6
1977/10/30,17.6,7.3,13.6,0,0.8
1977/10/31,22.1,14.7,18.3,3,2.2
1977/11/1,18.1,10.4,14.3,11,0
1977/11/2,13.5,4,9.3,15,4.5
1977/11/3,12.6,-0.6,5.5,0,9.4
1977/11/4,11.4,-2.9,5,0,8.5
1977/11/5,17.1,0.4,8.6,0,9.3
1977/11/6,12.4,9.2,11.1,7,1.5
1977/11/7,13.7,9.7,11.1,0,0
1977/11/8,13.5,9.3,10.8,,0
1977/11/9,14,5,9.1,,7.2
1977/11/10,8.5,2.3,5.7,,3
1977/11/11,4,-2.2,1.4,,3.2
1977/11/12,6.1,-5.8,-0.8,,8.7
1977/11/13,9.1,-6.3,0.2,,9.1
1977/11/14,14.7,-4.9,4.2,,7.9
1977/11/15,11.5,-2.7,2.8,,9
1977/11/16,10.3,-4.1,3.6,,5
1977/11/17,10.9,5.1,8.3,13,0
1977/11/18,12.9,7.6,9.6,1,4.2
1977/11/19,11.8,8,9.2,19,0.8
1977/11/20,13.1,3.1,8.1,7,7.8
1977/11/21,11.6,4.7,7.8,4,4.1
1977/11/22,11,4.4,7.5,1,2.6
1977/11/23,7.2,1.3,3.8,2,6
1977/11/24,8.3,1.7,5.1,5,5.7
1977/11/25,12.1,1.3,6.4,1,4
1977/11/26,10.4,0.8,6.7,0,1.9
1977/11/27,13.3,8.2,10.2,0,0.2
1977/11/28,12.1,-0.8,6.3,3,0.8
1977/11/29,6,-1.8,2.1,0,2.8
1977/11/30,6.8,2.2,3.9,1,4.3
1977/12/1,6.2,-3,1.9,0,5.6
1977/12/2,2.9,-2.5,0.3,2,0.1
1977/12/3,4.5,-1,1.7,0,1
1977/12/4,7.9,2.6,5.6,0,1.4
1977/12/5,9.8,3,6.7,0,3.1
1977/12/6,5.6,-0.1,2.6,0,3.2
1977/12/7,6.8,0.4,3.4,0,7.9
1977/12/8,3.8,-2.2,1.4,0,0.5
1977/12/9,2.5,0.4,1.2,10,0
1977/12/10,4.8,-1,1.7,1,4.9
1977/12/11,5.7,-3.9,1.6,0,7.2
1977/12/12,5.8,-6.4,-1.6,0,8.2
1977/12/13,5.9,-6.7,-0.3,0,5.4
1977/12/14,9.2,-3.1,2.1,0,7.8
1977/12/15,8.8,-6.2,-0.7,0,7.6
1977/12/16,6.2,-2.7,2.8,5,0.8
1977/12/17,12.2,2.7,6.6,5,2
1977/12/18,5.1,-0.5,2.3,1,0.7
1977/12/19,0.5,-2,-0.8,2,2.4
1977/12/20,0.1,-2.8,-1.7,0,2.6
1977/12/21,-1.9,-5.3,-4.1,0,3.9
1977/12/22,-1.9,-5.4,-3.7,0,7.5
1977/12/23,2.4,-8.7,-4.1,0,8.4
1977/12/24,0.2,-9.2,-3.4,3,0.5
1977/12/25,1.1,-6.2,-0.4,12,0
1977/12/26,-2,-5.4,-3.6,0,6
1977/12/27,0.2,-9.9,-3.3,0,4.8
1977/12/28,1.4,-15.5,-5.9,0,7.8
1977/12/29,6,-0.2,2.9,0,3.4
1977/12/30,5.7,-4.2,1.8,1,8.5
1977/12/31,2,-5.2,-1.1,10,0
1978/1/1,4,-2.2,2,1,0
1978/1/2,-1.5,-9.1,-4.6,0,7.5
1978/1/3,0,-9.2,-4.5,0,7.2
1978/1/4,1.2,-5.6,-2.8,0,6.8
1978/1/5,-0.5,-3.6,-2.6,0,4
1978/1/6,-1.5,-5.4,-3,1,0.3
1978/1/7,0.4,-3.9,-2,4,1.5
1978/1/8,1.9,-9.9,-3.7,0,5
1978/1/9,0.7,-6.9,-2,8,0
1978/1/10,0.4,-6.5,-3.7,1,5.2
1978/1/11,2.1,-5.1,-0.5,7,3.8
1978/1/12,1.8,-3,-0.5,1,5.6
1978/1/13,2.9,-9.2,-3.1,0,8.5
1978/1/14,4.5,-6.3,-0.7,0,1.1
1978/1/15,3.5,-2.9,1.1,4,0.8
1978/1/16,-3,-6.3,-4.9,0,8.2
1978/1/17,-0.5,-9.5,-4.6,0,7.3
1978/1/18,-0.1,-13.7,-5.9,0,6
1978/1/19,0.7,-2.5,-0.5,10,0.9
1978/1/20,1.5,-12,-4.8,0,6.2
1978/1/21,1.8,-13.3,-3.7,0,4.3
1978/1/22,0.7,-2.8,-1,6,2.5
1978/1/23,-0.6,-9.6,-3.7,1,8
1978/1/24,0.3,-15.1,-6.7,0,6.5
1978/1/25,-4.3,-10.4,-6.7,0,5.8
1978/1/26,-2.1,-12.3,-5.4,0,6.8
1978/1/27,2,-3.2,-1,4,4.5
1978/1/28,-1.9,-7.1,-4,1,5.9
1978/1/29,-3.6,-15.3,-8.2,0,8.8
1978/1/30,-3.6,-18.9,-10.5,0,5.4
1978/1/31,-4.4,-8.8,-6.4,3,6.3
1978/2/1,-7.2,-14,-9.4,1,1.3
1978/2/2,-5.3,-15.3,-9.5,0,8.7
1978/2/3,-4.4,-15,-7.9,0,7.7
1978/2/4,-2.2,-9.5,-6,0,7.5
1978/2/5,-3.5,-7,-5.7,0,5.8
1978/2/6,-0.6,-5,-3,0,5.4
1978/2/7,1.3,-3.5,-1.3,0,6.8
1978/2/8,-0.7,-4.1,-2.4,0,4.8
1978/2/9,0.8,-8.1,-3.5,0,4
1978/2/10,-0.6,-7,-3.1,8,1
1978/2/11,0.9,-10,-3.8,4,4.3
1978/2/12,-0.8,-9.8,-5.2,0,5.7
1978/2/13,-2.1,-7,-4.9,5,6.8
1978/2/14,-3.6,-19.3,-9.4,0,8.1
1978/2/15,-4.5,-21.3,-12.5,0,8
1978/2/16,-5.8,-17.2,-10.4,1,6.2
1978/2/17,-1.9,-16.7,-10.8,0,9.5
1978/2/18,-0.5,-17.9,-9,0,5.6
1978/2/19,-1.1,-15,-5.8,0,8.7
1978/2/20,-1.2,-11.3,-4.7,2,1.3
1978/2/21,-1,-14.9,-7.3,0,7.5
1978/2/22,-1.9,-14.8,-7.7,0,6.5
1978/2/23,-2.3,-12.2,-7.6,0,1.9
1978/2/24,-3.2,-10.3,-6.8,0,7.3
1978/2/25,-0.3,-10.3,-5.9,0,8.9
1978/2/26,-0.6,-15.7,-6,0,9.2
1978/2/27,3.2,-8.3,-1.8,1,8.8
1978/2/28,1.8,-12.2,-3.4,1,5.2
1978/3/1,3.5,-3.7,-0.8,4,5.2
1978/3/2,0,-8.8,-3.9,0,8.8
1978/3/3,3.5,-13.3,-3.4,2,7.4
1978/3/4,5,0.1,2.3,20,0.1
1978/3/5,4.1,-1.5,1.1,0,8.8
1978/3/6,3.8,-6.1,-1.1,0,9.8
1978/3/7,4.1,-10.9,-2.3,0,9.1
1978/3/8,5.5,-3.8,0.6,0,8.8
1978/3/9,4.5,-8.4,-1.6,0,10.6
1978/3/10,1,-2.1,-0.5,16,1.1
1978/3/11,1.5,-1.1,0.1,19,3.3
1978/3/12,0.4,-3.4,-1.7,2,5.4
1978/3/13,-1.2,-4.8,-3.2,0,8.5
1978/3/14,0.3,-4.7,-2.3,1,8.1
1978/3/15,2.7,-3.5,-0.7,2,10
1978/3/16,2.9,-5.2,-0.9,0,6.7
1978/3/17,4,-3,0.3,0,9.2
1978/3/18,7,-7,-0.1,0,10.8
1978/3/19,2.5,-4.9,-0.4,6,0.1
1978/3/20,6.5,-3.1,2.4,0,10.6
1978/3/21,7.2,-7.5,0.8,0,9.9
1978/3/22,2,-2,0.4,4,0
1978/3/23,3.2,-4.3,-1.1,0,7.8
1978/3/24,5.6,-4.3,0.7,0,8.1
1978/3/25,9.1,0.6,4.6,0,10.3
1978/3/26,11,2.6,6.6,1,10.7
1978/3/27,13.4,0.4,7.6,0,11
1978/3/28,8.1,-1.6,3,0,1.2
1978/3/29,8,-0.2,3.9,0,10.4
1978/3/30,2.4,-3.1,-0.1,0,6.7
1978/3/31,2.1,-5.8,-1.3,1,10
1978/4/1,3.5,-5.5,-1.3,0,8.9
1978/4/2,7.1,-5.9,0.8,0,11.6
1978/4/3,4.1,0.2,1.5,0,0
1978/4/4,6.3,-2.9,2,0,6.9
1978/4/5,12.6,-5.1,4.2,0,11.5
1978/4/6,10.8,-1.2,5.9,,5
1978/4/7,6.1,1.1,3.7,0,3.4
1978/4/8,11.7,1.5,7.7,1,10.3
1978/4/9,12.6,2.9,8.3,0,9.4
1978/4/10,8.1,0.1,4.3,0,8.4
1978/4/11,11.9,-1.8,4.7,0,9.1
1978/4/12,6.3,2.6,4.7,1,0
1978/4/13,10.1,2.5,6.2,0,1.1
1978/4/14,11.7,-1.1,6,0,10
1978/4/15,20.3,3.7,11.6,0,7.1
1978/4/16,22.4,7.5,14.7,0,7.1
1978/4/17,12.6,0.5,8.3,0,10.6
1978/4/18,15.9,-2.6,7.2,1,9.7
1978/4/19,11.2,2.5,7.2,7,4.3
1978/4/20,10.3,2.8,6,3,4.8
1978/4/21,11.9,4.7,8.1,0,11.4
1978/4/22,14.7,2.8,8.8,0,12.5
1978/4/23,18.2,-1.6,9.8,0,11.2
1978/4/24,17.5,6.3,12.3,0,4.2
1978/4/25,13.6,6,9.6,0,2
1978/4/26,16,1.6,9.6,0,11.9
1978/4/27,15.7,1,9.3,1,8.1
1978/4/28,20.1,7.3,12.3,0,9
1978/4/29,14,7,10.1,0,3.9
1978/4/30,16.6,9.2,13.2,1,1
1978/5/1,16.6,13.8,14.9,3,0
1978/5/2,16,8.7,12.5,14,5.9
1978/5/3,16.3,8.5,12.2,0,9
1978/5/4,20.6,9.9,14.5,0,11.8
1978/5/5,19.4,3.3,12.9,0,13.1
1978/5/6,17,-1.4,9,0,13.1
1978/5/7,20.4,1.5,11.4,0,12.6
1978/5/8,22.1,1.4,13,0,12.1
1978/5/9,20.1,12.6,15.4,5,1.5
1978/5/10,15.6,11.9,13.8,3,0.1
1978/5/11,15.6,9.8,12.4,0,1.4
1978/5/12,19.4,5.3,13.5,0,11.4
1978/5/13,22,1.6,12.5,0,13
1978/5/14,24.9,8.3,16.2,0,10.4
1978/5/15,26.1,6.4,16.3,0,12.2
1978/5/16,28.1,8.4,17.8,0,10.9
1978/5/17,27.7,6.4,17.6,0,12.7
1978/5/18,18.7,13.5,15.4,3,2
1978/5/19,19.7,14,16.7,8,0.5
1978/5/20,18.3,12.5,14.5,0,1.8
1978/5/21,15.7,12,13.1,1,1.9
1978/5/22,15.8,11.3,12.8,2,1.8
1978/5/23,20.3,10.8,14.7,0,11.9
1978/5/24,16.2,9.4,12,0,3.9
1978/5/25,24.1,4.2,14.6,0,13.1
1978/5/26,27.6,7.4,17.8,0,12.4
1978/5/27,20.4,7.4,16.5,0,4.4
1978/5/28,21.9,5,14.3,0,12
1978/5/29,19.8,5.1,11.6,5,8.3
1978/5/30,9.4,7.3,8.4,36,0
1978/5/31,11.2,7.2,9.1,2,6.3
1978/6/1,20.4,8.4,13.7,0,8.5
1978/6/2,24.2,7.2,16.4,0,10.4
1978/6/3,26,7.4,15.5,0,7
1978/6/4,18.6,11.4,15.1,34,0
1978/6/5,16.7,11.8,14.8,1,0.9
1978/6/6,18.8,8.4,14.2,0,5.6
1978/6/7,23.9,5.6,14.7,0,12
1978/6/8,25.8,5.7,17.5,0,12.2
1978/6/9,26.5,16.7,21.5,0,8.3
1978/6/10,29.4,15.6,22.8,0,10.4
1978/6/11,19.4,17.2,18.2,3,0.1
1978/6/12,27.1,16,20.6,0,8.2
1978/6/13,18.5,9.8,13.9,39,0
1978/6/14,24.7,10.1,17.2,0,5.6
1978/6/15,26.3,16.6,21.3,0,9
1978/6/16,27.2,18.4,22.6,1,6.6
1978/6/17,26.5,21,22.7,11,2.4
1978/6/18,24.5,20.1,22.2,4,1.4
1978/6/19,31.6,17.6,23.9,0,8.6
1978/6/20,29.3,21.6,24.4,8,6.6
1978/6/21,23.5,19.3,21.3,13,0.4
1978/6/22,21.4,16,18.2,10,0.9
1978/6/23,24.9,15.7,19.3,0,7.3
1978/6/24,28.7,16.3,21.8,0,9.6
1978/6/25,29,16.9,22.7,0,11.2
1978/6/26,27,19,22.6,0,4
1978/6/27,25.1,17.6,20.6,0,2.2
1978/6/28,25.5,15.2,20.3,0,11.3
1978/6/29,31.2,13.1,22.6,0,11.8
1978/6/30,30.4,17.4,23,0,9.4
1978/7/1,21.9,16.8,18.9,1,4.2
1978/7/2,24.1,16.8,20.5,2,4.7
1978/7/3,28.1,16.6,23,0,5.7
1978/7/4,26.7,21.1,23.4,1,2.4
1978/7/5,31.5,19.4,24.8,0,13.1
1978/7/6,31.9,18.5,24.7,0,10.1
1978/7/7,30,19.6,24.4,0,7.6
1978/7/8,33.1,20.2,26,0,10.9
1978/7/9,32.4,22.1,26.1,0,7.1
1978/7/10,30.9,21.8,26,0,10.9
1978/7/11,31.1,22.1,25.7,0,6.5
1978/7/12,29.4,21.6,25.2,0,8.3
