年月日,最高気温(℃),最低気温(℃),平均気温(℃),降水量の合計(mm),日照時間(時間)
1977/1/1,-4.8,-18.2,-9.6,0,5.1
1977/1/2,-3.2,-21,-12.2,0,7.9
1977/1/3,-2.2,-8.7,-4.7,1,5.7
1977/1/4,-3.7,-13.1,-7.4,0,8
1977/1/5,-2.2,-15.3,-8.3,0,7
1977/1/6,-4.5,-12.4,-7.5,0,6.5
1977/1/7,-0.9,-10.3,-4.7,0,5.7
1977/1/8,-1.6,-10.5,-5.1,0,7.7
1977/1/9,0,-15.6,-8.2,0,8.4
1977/1/10,2.3,-9.6,-3.4,0,2.3
1977/1/11,-0.8,-11.6,-4.7,0,8.7
1977/1/12,-2.5,-13,-8.1,1,6.3
1977/1/13,-3.6,-16.2,-10.6,0,6.3
1977/1/14,-3.8,-17.6,-11.6,0,7.6
1977/1/15,-1.3,-17.7,-10.2,0,7.9
1977/1/16,0.1,-12,-5.5,0,7.7
1977/1/17,-0.8,-7.3,-3.9,0,6.6
1977/1/18,-4.6,-7.6,-5.6,0,6.6
1977/1/19,-3.7,-12.4,-7.8,0,6.1
1977/1/20,-3.5,-10.2,-6.4,0,7
1977/1/21,-1.9,-15.2,-8.1,0,8.1
1977/1/22,-3.1,-14.6,-8.9,0,7.6
1977/1/23,-1.7,-12.4,-5.9,0,7.1
1977/1/24,-3.7,-8.9,-5.7,0,5.7
1977/1/25,-1.4,-8.9,-3.9,6,4.8
1977/1/26,0.1,-8.3,-2.2,2,6.6
1977/1/27,0.5,-18,-7.9,0,8.5
1977/1/28,-0.6,-10.5,-6,0,6.7
1977/1/29,-3.9,-15.6,-8.8,0,8.8
1977/1/30,-4.8,-15.9,-9.8,0,5.7
1977/1/31,-5.9,-13.2,-8.9,0,6.9
1977/2/1,-6.6,-13.1,-8.7,1,0
1977/2/2,-4.5,-10.1,-7.5,0,8.3
1977/2/3,-0.5,-8.6,-4.6,0,7.7
1977/2/4,0.3,-13.8,-6.4,0,9.2
1977/2/5,0.5,-17.6,-9.3,0,9.3
1977/2/6,0.6,-17.3,-7.5,0,7.5
1977/2/7,-4.4,-9,-6.6,0,4.7
1977/2/8,-1.5,-11.5,-6.5,0,9.1
1977/2/9,-0.6,-13.4,-6.2,2,9
1977/2/10,-0.1,-4.7,-2.4,2,6.5
1977/2/11,-4.5,-8.5,-6.2,0,7.5
1977/2/12,0.2,-10.1,-4.3,0,8.9
1977/2/13,-2.1,-5.1,-3.5,6,4.3
1977/2/14,2.5,-6.2,-3.1,0,6.8
1977/2/15,-0.3,-8.6,-4.4,0,7.2
1977/2/16,-0.2,-5.7,-3.8,2,5.3
1977/2/17,-0.7,-9.7,-4.7,1,7.1
1977/2/18,-0.3,-16.8,-6.8,0,8.6
1977/2/19,3.2,-6.4,0,0,8.8
1977/2/20,2.9,-0.7,1.6,5,1.6
1977/2/21,2.6,-5,-0.5,8,2.8
1977/2/22,-4.2,-9.5,-6.9,2,6.6
1977/2/23,-3,-9.2,-5.6,2,2.2
1977/2/24,6.2,-8.2,-0.9,10,2.9
1977/2/25,8,3,6.1,4,0.3
1977/2/26,7.5,-4,3.1,4,6.6
1977/2/27,5.7,-1.3,2,0,8
1977/2/28,4.5,-7,0,0,9.8
1977/3/1,7.8,-0.9,4.9,0,6.7
